#ISO;YYYY;MM;DD;JD;DOY:365.dk:;WN:365.dk:;DOW1;DOW0;DayName;poy:365.dk:;Excel:DOY;Excel:DOW;Excel:Uge.nr;WeekNo formel;;Dato;;;
1970-01-01;1970;1;1;2440587;1;1;4;3;torsdag;0,27%;1;3;1;1;;1970-01-01;;;
1970-01-02;1970;1;2;2440588;2;1;5;4;fredag;0,55%;2;4;1;1;;1970-01-02;;;
1970-01-03;1970;1;3;2440589;3;1;6;5;lørdag;0,82%;3;5;1;1;;1970-01-03;;;
1970-01-04;1970;1;4;2440590;4;1;7;6;søndag;1,10%;4;6;2;1;;1970-01-04;;;
1970-01-05;1970;1;5;2440591;5;2;1;0;mandag;1,37%;5;0;2;2;;1970-01-05;;;
1970-01-06;1970;1;6;2440592;6;2;2;1;tirsdag;1,64%;6;1;2;2;;1970-01-06;;;
1970-01-07;1970;1;7;2440593;7;2;3;2;onsdag;1,92%;7;2;2;2;;1970-01-07;;;
1970-01-08;1970;1;8;2440594;8;2;4;3;torsdag;2,19%;8;3;2;2;;1970-01-08;;;
1970-01-09;1970;1;9;2440595;9;2;5;4;fredag;2,47%;9;4;2;2;;1970-01-09;;;
1970-01-10;1970;1;10;2440596;10;2;6;5;lørdag;2,74%;10;5;2;2;;1970-01-10;;;
